State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny Theft,Motor Vehicle Theft,Arson
CALIFORNIA,SAN MATEO,2019,105839,141.0,2.0,26.0,35.0,78.0,1071.0,256.0,723.0,92.0,5.0
CALIFORNIA,SANTA CLARA,2019,128682,115.0,0.0,23.0,36.0,56.0,2447.0,179.0,2064.0,204.0,14.0
CALIFORNIA,SANTA CLARITA,2018,216589,169.0,3.0,23.0,54.0,89.0,1295.0,310.0,832.0,153.0,15.0
CALIFORNIA,SANTA ROSA,2018,176325,389.0,3.0,81.0,64.0,241.0,1556.0,256.0,1096.0,204.0,14.0
CALIFORNIA,SAN FRANCISCO,2019,889282,2711.0,20.0,167.0,1356.0,1168.0,22053.0,2277.0,17760.0,2016.0,125.0
CALIFORNIA,SANTA ROSA,2019,176325,418.0,2.0,73.0,61.0,282.0,1402.0,194.0,1057.0,151.0,12.0
CALIFORNIA,SAN JOSE,2019,1047305,2237.0,17.0,311.0,665.0,1244.0,12485.0,2052.0,7272.0,3161.0,47.0
CALIFORNIA,SIMI VALLEY,2019,127222,72.0,0.0,7.0,20.0,45.0,586.0,106.0,448.0,32.0,4.0
CALIFORNIA,STOCKTON,2019,313158,2244.0,23.0,104.0,531.0,1586.0,6278.0,1124.0,4256.0,898.0,83.0
CALIFORNIA,SUNNYVALE,2018,155637,116.0,0.0,23.0,37.0,56.0,1265.0,201.0,862.0,202.0,1.0
CALIFORNIA,SUNNYVALE,2019,155637,127.0,0.0,18.0,40.0,69.0,1646.0,250.0,1209.0,187.0,6.0
CALIFORNIA,TEMECULA,2018,116411,65.0,0.0,0.0,29.0,36.0,1334.0,213.0,973.0,148.0,0.0
CALIFORNIA,SIMI VALLEY,2018,127222,110.0,0.0,25.0,31.0,54.0,802.0,112.0,618.0,72.0,0.0
CALIFORNIA,NORWALK,2018,106158,219.0,5.0,4.0,61.0,149.0,1057.0,222.0,604.0,231.0,4.0
CALIFORNIA,STOCKTON,2018,313158,2045.0,15.0,93.0,559.0,1378.0,5624.0,1158.0,3435.0,1031.0,82.0
CALIFORNIA,TEMECULA,2019,116411,87.0,0.0,2.0,44.0,41.0,1376.0,171.0,1044.0,161.0,3.0
CALIFORNIA,NORWALK,2019,106158,212.0,2.0,13.0,63.0,134.0,809.0,171.0,462.0,176.0,10.0
CALIFORNIA,THOUSAND OAKS,2019,129319,41.0,0.0,13.0,11.0,17.0,747.0,135.0,572.0,40.0,1.0
CALIFORNIA,WEST COVINA,2019,107806,139.0,2.0,12.0,66.0,59.0,1203.0,166.0,844.0,193.0,4.0
CALIFORNIA,SANTA CLARA,2018,128682,103.0,0.0,26.0,36.0,41.0,1620.0,185.0,1218.0,217.0,4.0
CALIFORNIA,WEST COVINA,2018,107806,128.0,0.0,7.0,72.0,49.0,1262.0,198.0,885.0,179.0,3.0
CALIFORNIA,VISTA,2019,102742,191.0,1.0,21.0,48.0,121.0,672.0,127.0,443.0,102.0,3.0
CALIFORNIA,THOUSAND OAKS,2018,129319,51.0,2.0,13.0,13.0,23.0,707.0,104.0,545.0,58.0,2.0
CALIFORNIA,VISALIA,2019,134224,259.0,1.0,53.0,83.0,122.0,1834.0,367.0,1201.0,266.0,9.0
CALIFORNIA,VISALIA,2018,134224,226.0,1.0,55.0,67.0,103.0,2067.0,376.0,1432.0,259.0,8.0
CALIFORNIA,VENTURA,2019,111272,243.0,1.0,38.0,57.0,147.0,1538.0,177.0,1222.0,139.0,4.0
CALIFORNIA,VISTA,2018,102742,155.0,1.0,21.0,41.0,92.0,735.0,138.0,445.0,152.0,0.0
CALIFORNIA,VALLEJO,2019,122974,483.0,5.0,50.0,171.0,257.0,2182.0,1246.0,563.0,373.0,28.0
CALIFORNIA,VALLEJO,2018,122974,474.0,4.0,42.0,170.0,258.0,2024.0,1069.0,490.0,465.0,20.0
CALIFORNIA,VACAVILLE,2019,101146,157.0,2.0,20.0,40.0,95.0,1162.0,74.0,1003.0,85.0,7.0
CALIFORNIA,VACAVILLE,2018,101146,131.0,0.0,10.0,38.0,83.0,1093.0,102.0,898.0,93.0,5.0
CALIFORNIA,TORRANCE,2019,146968,151.0,3.0,16.0,67.0,65.0,1411.0,185.0,1101.0,125.0,4.0
CALIFORNIA,TORRANCE,2018,146968,124.0,1.0,11.0,55.0,57.0,1362.0,238.0,984.0,140.0,7.0
CALIFORNIA,VENTURA,2018,111272,223.0,1.0,31.0,48.0,143.0,1728.0,274.0,1302.0,152.0,26.0
COLORADO,CENTENNIAL,2019,111646,66.0,0.0,6.0,6.0,54.0,661.0,55.0,545.0,61.0,1.0
COLORADO,COLORADO SPRINGS,2019,471124,1249.0,10.0,192.0,193.0,854.0,8270.0,1097.0,5780.0,1393.0,50.0
COLORADO,ARVADA,2018,120631,127.0,0.0,30.0,16.0,81.0,1667.0,168.0,1255.0,244.0,10.0
COLORADO,ARVADA,2019,120631,134.0,1.0,21.0,25.0,87.0,1870.0,175.0,1499.0,196.0,4.0
COLORADO,AURORA,2018,372824,1295.0,10.0,200.0,294.0,791.0,5547.0,835.0,3605.0,1107.0,30.0
COLORADO,AURORA,2019,372824,1290.0,12.0,216.0,290.0,772.0,5178.0,642.0,3408.0,1128.0,44.0
COLORADO,BOULDER,2018,108380,127.0,0.0,19.0,12.0,96.0,1595.0,188.0,1289.0,118.0,12.0
COLORADO,CENTENNIAL,2018,111646,97.0,1.0,21.0,8.0,67.0,962.0,122.0,751.0,89.0,5.0
COLORADO,COLORADO SPRINGS,2018,471124,1334.0,12.0,245.0,278.0,799.0,7661.0,1408.0,5116.0,1137.0,74.0
COLORADO,BOULDER,2019,108380,127.0,0.0,14.0,23.0,90.0,1497.0,169.0,1207.0,121.0,3.0
COLORADO,DENVER,2018,720745,2537.0,34.0,374.0,575.0,1554.0,13024.0,2053.0,8364.0,2607.0,60.0
COLORADO,FORT COLLINS,2018,168163,187.0,1.0,17.0,17.0,152.0,1868.0,197.0,1591.0,80.0,5.0
